t,x,y,vx,vy,kinetic_energy
92.0340951788,1.0203327355,0.4968243335,0.0099817819,0.0007902572,0.0000501302
92.0606707830,1.0205979928,0.4968452947,0.0099806731,0.0007872180,0.0000501168
92.0868780997,1.0208595444,0.4968658861,0.0099795133,0.0007841984,0.0000501028
92.1128512665,1.0211187283,0.4968862151,0.0099782952,0.0007811823,0.0000500883
92.1385656426,1.0213752976,0.4969062640,0.0099770177,0.0007781719,0.0000500732
92.1640296859,1.0216293360,0.4969260412,0.0099756784,0.0007751657,0.0000500575
92.1891352427,1.0218797635,0.4969454647,0.0099742814,0.0007721757,0.0000500413
92.2141170748,1.0221289212,0.4969647176,0.0099728116,0.0007691733,0.0000500243
92.2386463665,1.0223735287,0.4969835485,0.0099712865,0.0007661976,0.0000500068
92.2629828575,1.0226161755,0.4970021588,0.0099696887,0.0007632165,0.0000499886
92.2870149904,1.0228557486,0.4970204649,0.0099680236,0.0007602430,0.0000499697
92.3108585391,1.0230934010,0.4970385563,0.0099662810,0.0007572622,0.0000499501
92.3344135070,1.0233281353,0.4970563586,0.0099644661,0.0007542859,0.0000499298
92.3577849973,1.0235609977,0.4970739525,0.0099625687,0.0007513000,0.0000499086
92.3809783299,1.0237920401,0.4970913430,0.0099605856,0.0007483029,0.0000498866
92.4039743989,1.0240210708,0.4971085165,0.0099585155,0.0007452961,0.0000498637
92.4266916593,1.0242472767,0.4971254135,0.0099563636,0.0007422898,0.0000498401
92.4491588075,1.0244709429,0.4971420569,0.0099541256,0.0007392793,0.0000498156
92.4713996044,1.0246923049,0.4971584656,0.0099517970,0.0007362610,0.0000497902
92.4934188411,1.0249114094,0.4971746442,0.0099493752,0.0007332335,0.0000497638
92.5152290167,1.0251283798,0.4971906031,0.0099468564,0.0007301942,0.0000497366
92.5369384217,1.0253442918,0.4972064220,0.0099442248,0.0007271269,0.0000497082
92.5585230598,1.0255589049,0.4972220834,0.0099414790,0.0007240337,0.0000496786
92.5798044335,1.0257704433,0.4972374590,0.0099386396,0.0007209394,0.0000496482
92.6009077029,1.0259801502,0.4972526404,0.0099356880,0.0007178252,0.0000496166
92.6217550310,1.0261872511,0.4972675727,0.0099326328,0.0007147018,0.0000495840
92.6424563750,1.0263928373,0.4972823355,0.0099294555,0.0007115520,0.0000495502
92.6632018766,1.0265987945,0.4972970638,0.0099261212,0.0007083450,0.0000495148
92.6836747180,1.0268019755,0.4973115328,0.0099226765,0.0007051282,0.0000494784
92.7039173490,1.0270028007,0.4973257738,0.0099191127,0.0007018946,0.0000494407
92.7240434292,1.0272023966,0.4973398674,0.0099154069,0.0006986249,0.0000494017
92.7440571155,1.0274008021,0.4973538164,0.0099115537,0.0006953171,0.0000493612
92.7638721268,1.0275971605,0.4973675612,0.0099075662,0.0006919842,0.0000493194
92.7835908530,1.0277924845,0.4973811731,0.0099034200,0.0006886078,0.0000492760
92.8031337058,1.0279859839,0.4973945972,0.0098991277,0.0006852001,0.0000492311
92.8226006621,1.0281786467,0.4974079024,0.0098946629,0.0006817422,0.0000491846
92.8419117440,1.0283696790,0.4974210340,0.0098900392,0.0006782467,0.0000491364
92.8610816640,1.0285592247,0.4974340021,0.0098852491,0.0006747098,0.0000490867
92.8801239969,1.0287474159,0.4974468162,0.0098802851,0.0006711275,0.0000490352
92.8990443015,1.0289343056,0.4974594799,0.0098751411,0.0006674973,0.0000489820
92.9178549370,1.0291200135,0.4974720014,0.0098698086,0.0006638151,0.0000489269
92.9364858427,1.0293038460,0.4974843343,0.0098643035,0.0006600933,0.0000488701
92.9551282763,1.0294876875,0.4974966048,0.0098585631,0.0006562917,0.0000488110
92.9735316206,1.0296690641,0.4975086476,0.0098526594,0.0006524598,0.0000487503
92.9918816185,1.0298498045,0.4975205846,0.0098465287,0.0006485574,0.0000486874
93.0101052166,1.0300291863,0.4975323677,0.0098401892,0.0006445980,0.0000486224
93.0282232759,1.0302074124,0.4975440102,0.0098336284,0.0006405755,0.0000485553
93.0463249139,1.0303853558,0.4975555686,0.0098268062,0.0006364675,0.0000484856
93.0643229324,1.0305621558,0.4975669864,0.0098197476,0.0006322912,0.0000484136
93.0821567151,1.0307372146,0.4975782249,0.0098124718,0.0006280591,0.0000483395
93.0999289483,1.0309115375,0.4975893487,0.0098049311,0.0006237450,0.0000482629
93.1176436613,1.0310851603,0.4976003594,0.0097971155,0.0006193452,0.0000481835
93.1352365040,1.0312574489,0.4976112162,0.0097890464,0.0006148734,0.0000481017
93.1527933151,1.0314292403,0.4976219715,0.0097806768,0.0006103052,0.0000480171
93.1701555827,1.0315989809,0.4976325278,0.0097720764,0.0006056800,0.0000479302
93.1875053896,1.0317684476,0.4976429953,0.0097631486,0.0006009473,0.0000478401
93.2047601293,1.0319368291,0.4976533231,0.0097539266,0.0005961264,0.0000477472
93.2220042848,1.0321049453,0.4976635604,0.0097443554,0.0005911906,0.0000476510
93.2391512274,1.0322719470,0.4976736546,0.0097344733,0.0005861614,0.0000475518
93.2562053798,1.0324378737,0.4976836075,0.0097242704,0.0005810352,0.0000474495
93.2731611507,1.0326026675,0.4976934153,0.0097137426,0.0005758112,0.0000473442
93.2900940318,1.0327670574,0.4977031204,0.0097028332,0.0005704629,0.0000472352
93.3069094253,1.0329301204,0.4977126673,0.0096915938,0.0005650173,0.0000471231
93.3236651984,1.0330924138,0.4977220882,0.0096799776,0.0005594528,0.0000470075
93.3404099787,1.0332544028,0.4977314086,0.0096679386,0.0005537494,0.0000468878
93.3570288169,1.0334149703,0.4977405632,0.0096555495,0.0005479429,0.0000467649
93.3734905387,1.0335738132,0.4977495349,0.0096428295,0.0005420429,0.0000466390
93.3899104704,1.0337320405,0.4977583859,0.0096296820,0.0005360057,0.0000465090
93.4063005861,1.0338897614,0.4977671206,0.0096160846,0.0005298228,0.0000463749
93.4224439100,1.0340448856,0.4977756235,0.0096022132,0.0005235745,0.0000462383
93.4385805331,1.0341997178,0.4977840208,0.0095878565,0.0005171666,0.0000460972
93.4546081042,1.0343532702,0.4977922576,0.0095730946,0.0005106360,0.0000459524
93.4704465504,1.0345047743,0.4978002930,0.0095579987,0.0005040145,0.0000458047
93.4861634572,1.0346548753,0.4978081618,0.0095425029,0.0004972735,0.0000456533
93.5017812051,1.0348037841,0.4978158747,0.0095265792,0.0004904015,0.0000454981
93.5171975734,1.0349505248,0.4978233815,0.0095103306,0.0004834431,0.0000453401
93.5325089934,1.0350960145,0.4978307297,0.0094936545,0.0004763546,0.0000451782
93.5476128479,1.0352392776,0.4978378705,0.0094766627,0.0004691835,0.0000450136
93.5625990375,1.0353811669,0.4978448474,0.0094592551,0.0004618876,0.0000448454
93.5774052909,1.0355210923,0.4978516317,0.0094415040,0.0004544971,0.0000446743
93.5920197639,1.0356589435,0.4978582195,0.0094234281,0.0004470197,0.0000445004
93.6065046630,1.0357953078,0.4978646398,0.0094049528,0.0004394242,0.0000443231
93.6208070978,1.0359296877,0.4978708699,0.0093861477,0.0004317392,0.0000441431
93.6349426131,1.0360622311,0.4978769179,0.0093669972,0.0004239580,0.0000439602
93.6488722895,1.0361925756,0.4978827691,0.0093475609,0.0004161043,0.0000437750
93.6626403123,1.0363211376,0.4978884435,0.0093277842,0.0004081556,0.0000435871
93.6762518771,1.0364479670,0.4978939446,0.0093076642,0.0004001105,0.0000433964
93.6896938101,1.0365729433,0.4978992684,0.0092872260,0.0003919786,0.0000432031
93.7029689631,1.0366960955,0.4979044176,0.0092664721,0.0003837606,0.0000430074
93.7160817612,1.0368174674,0.4979093956,0.0092454024,0.0003754560,0.0000428092
93.7290463896,1.0369371925,0.4979142090,0.0092240002,0.0003670578,0.0000426085
93.7418481129,1.0370551373,0.4979188539,0.0092022966,0.0003585780,0.0000424054
93.7545071067,1.0371714902,0.4979233391,0.0091802640,0.0003500053,0.0000421999
93.7670193347,1.0372862166,0.4979276644,0.0091579158,0.0003413447,0.0000419920
93.7793855168,1.0373993255,0.4979318317,0.0091352576,0.0003325979,0.0000417818
93.7916137488,1.0375108937,0.4979358449,0.0091122813,0.0003237615,0.0000415692
93.8037079364,1.0376209590,0.4979397067,0.0090889858,0.0003148348,0.0000413544
93.8156689193,1.0377295316,0.4979434188,0.0090653760,0.0003058194,0.0000411373
93.8275024643,1.0378366661,0.4979469840,0.0090414469,0.0002967130,0.0000409179
93.8392123685,1.0379423992,0.4979504048,0.0090171970,0.0002875148,0.0000406963
93.8507970176,1.0380467185,0.4979536819,0.0089926360,0.0002782282,0.0000404725
93.8622651547,1.0381497052,0.4979568191,0.0089677516,0.0002688483,0.0000402464
93.8736162079,1.0382513561,0.4979598172,0.0089425510,0.0002593776,0.0000400182
93.8848585280,1.0383517482,0.4979626796,0.0089170215,0.0002498110,0.0000397878
93.8959892057,1.0384508574,0.4979654066,0.0088911755,0.0002401530,0.0000395553
93.9070172008,1.0385487654,0.4979680014,0.0088649977,0.0002303977,0.0000393206
93.9179386594,1.0386454399,0.4979704641,0.0088385030,0.0002205503,0.0000390839
93.9287700411,1.0387410282,0.4979727992,0.0088116562,0.0002105978,0.0000388448
93.9394929318,1.0388353696,0.4979750038,0.0087845086,0.0002005587,0.0000386039
93.9501238405,1.0389286114,0.4979770822,0.0087570241,0.0001904198,0.0000383609
93.9606657492,1.0390207809,0.4979790358,0.0087291996,0.0001801796,0.0000381157
93.9711019385,1.0391117343,0.4979808624,0.0087010855,0.0001698564,0.0000378689
93.9814537946,1.0392016599,0.4979825670,0.0086726300,0.0001594311,0.0000376200
93.9917235995,1.0392905787,0.4979841504,0.0086438312,0.0001489029,0.0000373690
94.0019138702,1.0393785137,0.4979856137,0.0086146863,0.0001382706,0.0000371160
94.0120157797,1.0394653902,0.4979869565,0.0085852255,0.0001275450,0.0000368612
94.0220536031,1.0395514178,0.4979881825,0.0085553821,0.0001167018,0.0000366041
94.0320189626,1.0396365253,0.4979892911,0.0085251837,0.0001057510,0.0000363450
94.0419013315,1.0397206240,0.4979902817,0.0084946670,0.0000947058,0.0000360842
94.0517022208,1.0398037287,0.4979911555,0.0084638333,0.0000835664,0.0000358217
94.0614349716,1.0398859537,0.4979919143,0.0084326451,0.0000723192,0.0000355574
94.0711019922,1.0399673203,0.4979925586,0.0084010986,0.0000609627,0.0000352911
94.0807031409,1.0400478278,0.4979930890,0.0083691977,0.0000494983,0.0000350230
94.0902421705,1.0401275084,0.4979935061,0.0083369336,0.0000379227,0.0000347530
94.0997206484,1.0402063756,0.4979938104,0.0083043044,0.0000262351,0.0000344811
94.1091401012,1.0402844427,0.4979940020,0.0082713079,0.0000144348,0.0000342074
94.1184887231,1.0403616127,0.4979940815,0.0082379899,0.0000025381,0.0000339322
94.1277807774,1.0404380045,0.4979940495,0.0082043041,-0.0000094718,0.0000336553
94.1370177478,1.0405136306,0.4979939061,0.0081702481,-0.0000215957,0.0000333767
94.1461867939,1.0405883868,0.4979936522,0.0081358739,-0.0000338152,0.0000330968
94.1553025053,1.0406623931,0.4979932879,0.0081011312,-0.0000461483,0.0000328152
94.1643676359,1.0407356722,0.4979928133,0.0080660125,-0.0000585977,0.0000325320
94.1733823572,1.0408082255,0.4979922285,0.0080305201,-0.0000711625,0.0000322472
94.1823344166,1.0408799553,0.4979915349,0.0079947068,-0.0000838243,0.0000319612
94.1912526600,1.0409510929,0.4979907305,0.0079584599,-0.0000966229,0.0000316732
94.2001126040,1.0410214428,0.4979898174,0.0079218818,-0.0001095221,0.0000313841
94.2089265226,1.0410911031,0.4979887948,0.0078849258,-0.0001225384,0.0000310935
94.2176807358,1.0411599667,0.4979876648,0.0078476538,-0.0001356503,0.0000308020
94.2264057343,1.0412282734,0.4979864236,0.0078099388,-0.0001489024,0.0000305087
94.2350749583,1.0412958150,0.4979850750,0.0077718985,-0.0001622533,0.0000302144
94.2437176302,1.0413628190,0.4979836145,0.0077334072,-0.0001757471,0.0000299182
94.2523231759,1.0414292023,0.4979820437,0.0076945131,-0.0001893671,0.0000296207
94.2608762033,1.0414948463,0.4979803654,0.0076552896,-0.0002030875,0.0000293224
94.2693744384,1.0415597352,0.4979785810,0.0076157526,-0.0002169028,0.0000290234
94.2778499566,1.0416241135,0.4979766836,0.0075757559,-0.0002308643,0.0000287227
94.2862913002,1.0416878930,0.4979746755,0.0075353545,-0.0002449526,0.0000284208
94.2947002577,1.0417510863,0.4979725560,0.0074945420,-0.0002591699,0.0000281177
94.3030595641,1.0418135639,0.4979703298,0.0074534061,-0.0002734859,0.0000278140
94.3113688996,1.0418753249,0.4979679976,0.0074119540,-0.0002878981,0.0000275100
94.3196428551,1.0419364784,0.4979655555,0.0073701176,-0.0003024302,0.0000272050
94.3279170535,1.0419972852,0.4979629924,0.0073277163,-0.0003171449,0.0000268980
94.3361515970,1.0420574499,0.4979603200,0.0072849546,-0.0003319711,0.0000265904
94.3443560320,1.0421170422,0.4979575351,0.0072417865,-0.0003469250,0.0000262819
94.3525161075,1.0421759586,0.4979546429,0.0071982910,-0.0003619791,0.0000259732
94.3606629223,1.0422344229,0.4979516321,0.0071543047,-0.0003771900,0.0000256632
94.3687700060,1.0422922442,0.4979485122,0.0071099729,-0.0003925075,0.0000253529
94.3768673052,1.0423496346,0.4979452714,0.0070651335,-0.0004079875,0.0000250413
94.3849244056,1.0424063775,0.4979419215,0.0070199573,-0.0004235711,0.0000247296
94.3929549014,1.0424625685,0.4979384571,0.0069743721,-0.0004392834,0.0000244174
94.4009456307,1.0425181158,0.4979348838,0.0069284567,-0.0004550970,0.0000241053
94.4089294543,1.0425732464,0.4979311867,0.0068820246,-0.0004710763,0.0000237921
94.4168769200,1.0426277555,0.4979273791,0.0068352492,-0.0004871616,0.0000234790
94.4248027389,1.0426817438,0.4979234537,0.0067880476,-0.0005033815,0.0000231655
94.4327074837,1.0427352137,0.4979194101,0.0067404187,-0.0005197362,0.0000228517
94.4405918139,1.0427881683,0.4979152475,0.0066923609,-0.0005362265,0.0000225376
94.4484416696,1.0428405127,0.4979109731,0.0066439637,-0.0005528214,0.0000222239
94.4562887064,1.0428924566,0.4979065695,0.0065950343,-0.0005695873,0.0000219095
94.4641036662,1.0429438043,0.4979020523,0.0065457571,-0.0005864609,0.0000215954
94.4719173852,1.0429947567,0.4978974034,0.0064959397,-0.0006035080,0.0000212807
94.4797003883,1.0430451198,0.4978926397,0.0064457722,-0.0006206637,0.0000209666
94.4874836959,1.0430950922,0.4978877415,0.0063950567,-0.0006379955,0.0000206519
94.4952407758,1.0431445014,0.4978827250,0.0063439679,-0.0006554438,0.0000203378
94.5029822615,1.0431934140,0.4978775829,0.0062924392,-0.0006730313,0.0000200239
94.5107097708,1.0432418384,0.4978723137,0.0062404624,-0.0006907608,0.0000197103
94.5184256817,1.0432897873,0.4978669149,0.0061880237,-0.0007086370,0.0000193969
94.5261327290,1.0433372751,0.4978613841,0.0061351062,-0.0007266657,0.0000190838
94.5338109791,1.0433841779,0.4978557351,0.0060818506,-0.0007447989,0.0000187718
94.5414734331,1.0434305745,0.4978499582,0.0060281714,-0.0007630658,0.0000184606
94.5491467309,1.0434766225,0.4978440322,0.0059738827,-0.0007815296,0.0000181490
94.5567975160,1.0435221186,0.4978379820,0.0059192218,-0.0008001096,0.0000178387
94.5644391831,1.0435671410,0.4978317963,0.0058640969,-0.0008188369,0.0000175291
94.5720537213,1.0436115826,0.4978254897,0.0058086424,-0.0008376660,0.0000172210
94.5796766333,1.0436556481,0.4978190319,0.0057526024,-0.0008566838,0.0000169132
