t_removed,x_real,y_real,x_restored,y_restored
94.7467997188,1.0445070213,0.4976386705,1.0445070213,0.4976386705
94.7621021475,1.0445732545,0.4976182077,1.0445732546,0.4976182077
94.7774463475,1.0446375682,0.4975969841,1.0446375682,0.4975969841
94.7928781667,1.0447001004,0.4975749185,1.0447001004,0.4975749185
94.8083535184,1.0447606181,0.4975520563,1.0447606181,0.4975520564
94.8238840923,1.0448191197,0.4975283649,1.0448191197,0.4975283649
94.8395456854,1.0448758246,0.4975037071,1.0448758246,0.4975037071
94.8552850608,1.0449304686,0.4974781432,1.0449304685,0.4974781432
94.8711244184,1.0449830643,0.4974516162,1.0449830645,0.4974516162
94.8870765870,1.0450335820,0.4974240808,1.0450335814,0.4974240806
94.9031434637,1.0450819516,0.4973955090,1.0450819539,0.4973955098
94.9193346313,1.0451281233,0.4973658580,1.0451281145,0.4973658550
94.9356795940,1.0451720932,0.4973350447,1.0451721267,0.4973350559
94.9521928849,1.0452138013,0.4973030094,1.0452136740,0.4973029669
