s x_s y_s F_val G_val
1.86 1.21481 2.45847 0.292115 0.292028
1.87 1.20524 2.45557 0.296557 0.296463
1.88 1.1957 2.45258 0.30109 0.300987
1.89 1.18619 2.44949 0.305713 0.305601
1.9 1.17671 2.4463 0.310429 0.310307
1.91 1.16726 2.44302 0.315239 0.315106
1.92 1.15785 2.43965 0.320145 0.32
1.93 1.14847 2.43618 0.325148 0.32499
1.94 1.13913 2.43262 0.330249 0.330078
1.95 1.12982 2.42896 0.335451 0.335264
1.96 1.12055 2.42521 0.340754 0.340551
1.97 1.11132 2.42137 0.34616 0.34594
1.98 1.10212 2.41744 0.351671 0.351432
1.99 1.09297 2.41341 0.357288 0.357029
2 1.08385 2.4093 0.363013 0.362732
2.01 1.07478 2.40509 0.368848 0.368542
2.02 1.06575 2.40079 0.374793 0.374462
2.03 1.05677 2.39641 0.38085 0.380492
2.04 1.04782 2.39193 0.387022 0.386633
2.05 1.03893 2.38736 0.393309 0.392888
2.06 1.03008 2.38271 0.399712 0.399257
2.07 1.02127 2.37796 0.406234 0.405742
2.08 1.01252 2.37313 0.412876 0.412344
2.09 1.00381 2.36821 0.419639 0.419064
2.1 0.995154 2.36321 0.426524 -nan
2.11 0.986547 2.35812 0.433534 -nan
2.12 0.977992 2.35294 0.440669 -nan
2.13 0.969489 2.34768 0.447931 -nan
2.14 0.961039 2.34233 0.455321 -nan
2.15 0.952642 2.3369 0.46284 -nan
2.16 0.944301 2.33138 0.47049 -nan
2.17 0.936015 2.32578 0.478271 -nan
2.18 0.927785 2.3201 0.486186 -nan
2.19 0.919613 2.31434 0.494235 -nan
2.2 0.911499 2.3085 0.502418 -nan
2.21 0.903443 2.30257 0.510738 -nan
2.22 0.895448 2.29657 0.519195 -nan
2.23 0.887512 2.29048 0.527789 -nan
2.24 0.879638 2.28432 0.536522 -nan
2.25 0.871826 2.27807 0.545395 -nan
2.26 0.864077 2.27175 0.554408 -nan
2.27 0.856392 2.26535 0.563561 -nan
2.28 0.84877 2.25888 0.572855 -nan
2.29 0.841214 2.25233 0.582291 -nan
2.3 0.833724 2.24571 0.591869 -nan
2.31 0.8263 2.23901 0.601588 -nan
2.32 0.818944 2.23223 0.61145 -nan
2.33 0.811656 2.22538 0.621454 -nan
2.34 0.804437 2.21846 0.631599 -nan
2.35 0.797287 2.21147 0.641886 -nan
2.36 0.790207 2.20441 0.652314 -nan
2.37 0.783199 2.19728 0.662883 -nan
2.38 0.776262 2.19007 0.673592 -nan
2.39 0.769398 2.1828 0.68444 -nan
2.4 0.762606 2.17546 0.695426 -nan
2.41 0.755889 2.16806 0.706549 -nan
2.42 0.749245 2.16058 0.717808 -nan
2.43 0.742677 2.15304 0.729202 -nan
2.44 0.736185 2.14543 0.740728 -nan
2.45 0.729769 2.13776 0.752385 -nan
2.46 0.72343 2.13003 0.76417 -nan
2.47 0.717168 2.12223 0.776083 -nan
2.48 0.710985 2.11437 0.78812 -nan
2.49 0.704881 2.10645 0.800278 -nan
2.5 0.698856 2.09847 0.812556 -nan
2.51 0.692912 2.09043 0.824949 -nan
2.52 0.687048 2.08233 0.837455 -nan
2.53 0.681265 2.07417 0.850071 -nan
2.54 0.675565 2.06596 0.862792 -nan
2.55 0.669946 2.05768 0.875615 -nan
2.56 0.664411 2.04936 0.888536 -nan
2.57 0.65896 2.04097 0.90155 -nan
2.58 0.653592 2.03253 0.914652 -nan
